StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q16,Q12,Q13,Q14
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,When it comes to Electric Cars... - The Price of electric cars today fits my budget.,When it comes to Electric Cars... - The range of today’s electric cars fit my needs. (Distance a car can travel on a single charge),When it comes to Electric Cars... - An electric car would be practical for my household and lifestyle.,When it comes to Electric Cars... - Brand is an important aspect to consider when buying an electric car.,When it comes to Electric Cars... - The main reason I would buy an electric car is to reduce my carbon footprint.,When it comes to Electric Cars... - I will buy a car (either gas/petrol or electric) next 24 months,When it comes to Electric Cars... - The next car I buy will be an electric car.,What aspects of electric cars are most appealing to someone like you?,What is still lacking about electric cars today?,How old are you?,What is your gender?,What is the highest level of education you have achieved?,"What is your household's annual income?
(Optional)",How would you describe your location?,Do you live in the United States?,What state/province do you live in?,What City do you live in?,Do you work in the Automotive Industry?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID1_3""}","{""ImportId"":""QID1_4""}","{""ImportId"":""QID1_5""}","{""ImportId"":""QID1_7""}","{""ImportId"":""QID1_9""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID16""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID14""}"
9/13/20 8:37,9/13/20 8:39,Survey Preview,,100,121,TRUE,9/13/20 8:39,R_2ebtbLV0SNJyps8,,,,,40.67630005,-73.94920349,preview,EN,Agree,Agree,Agree,Agree,Somewhat disagree,Strongly Disagree,,",jnb",kjbkj,32,Male,Bachelor's Degree,"$120,000 - $160,000",Urban,,New York,New York,No
9/13/20 8:50,9/13/20 8:55,IP Address,98.220.200.137,100,326,TRUE,9/13/20 8:55,R_2tFrfyLojjMas3i,,,,,41.68370056,-88.34989929,anonymous,EN,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Agree,Agree,,Low emissions,Affordability ,49,Male,Bachelor's Degree,"$160,000 - $200,000",Suburban,,Illinois,Yorkville,No
9/13/20 9:26,9/13/20 9:31,IP Address,173.79.14.104,100,327,TRUE,9/13/20 9:31,R_2V8zwuRnsrtsBZb,,,,,38.88650513,-77.0911026,anonymous,EN,Agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,,Cheaper in the long run than gas cars,Price,28,Male,Master's Degree,"$80,000 - 120,000",Urban,,Virginia,Arlington,No
9/13/20 9:52,9/13/20 9:53,IP Address,45.56.142.196,100,78,TRUE,9/13/20 9:53,R_3Rq4aFtNBynpYKN,,,,,37.75100708,-97.8219986,anonymous,EN,Somewhat disagree,Somewhat disagree,Agree,Agree,Neither agree nor disagree,Disagree,,Not needing to worry about an internal combustion engine.,Probably range and time to charge.,31,Male,Bachelor's Degree,"$80,000 - 120,000",,,Illinois,Chicago,No
9/13/20 18:58,9/13/20 19:00,IP Address,24.228.117.247,100,92,TRUE,9/13/20 19:00,R_2z6nSKMgu19ywoZ,,,,,40.67630005,-73.94920349,anonymous,EN,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly agree,Disagree,Disagree,,,,32,Male,Bachelor's Degree,"$160,000 - $200,000",Urban,,New York,New York,No
9/14/20 7:28,9/14/20 7:28,Survey Preview,,100,18,TRUE,9/14/20 7:28,R_1FCHhRfI2KEN9IH,,,,,40.67630005,-73.94920349,preview,EN,Somewhat disagree,Somewhat disagree,Disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,,sdfa,asfg,22,Female,,,,,,,
9/14/20 7:49,9/14/20 7:52,IP Address,67.61.165.32,100,172,TRUE,9/14/20 7:52,R_UcIuB5s2xtJna6t,,,,,34.50770569,-97.93930054,anonymous,EN,Somewhat agree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Technology implemented,"Infrastructure (charge station), stability of power supply (think about california), universal charging ",45,Male,Master's Degree,Click to write Choice 8,Rural,,Oklahoma,N/A,No
9/14/20 7:49,9/14/20 7:53,IP Address,125.161.137.175,100,208,TRUE,9/14/20 7:53,R_1oAaqvc62SKGTSJ,,,,,-6.174102783,106.8295898,anonymous,EN,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Disagree,Disagree,Low maintenance cost and no added fuel cost,Range of electric cars. Usually up to 300 miles,29,Male,Master's Degree,"$80,000 - 120,000",Urban,,WA,Seattle,No
