StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_1,Q1_2,Q1_3,Q1_4,Q1_5,Q1_6,Q1_7,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q16,Q12,Q13,Q14
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,When it comes to Electric Cars... - The Price of electric cars today fits my budget.,When it comes to Electric Cars... - The range of today’s electric cars fit my needs. (Distance a car can travel on a single charge),When it comes to Electric Cars... - An electric car would be practical for my household and lifestyle.,When it comes to Electric Cars... - Brand is an important aspect to consider when buying an electric car.,When it comes to Electric Cars... - The main reason I would buy an electric car is to reduce my carbon footprint.,When it comes to Electric Cars... - I will buy a car (either gas/petrol or electric) next 24 months,When it comes to Electric Cars... - The next car I buy will be an electric car.,What aspects of electric cars are most appealing to someone like you?,What is still lacking about electric cars today?,How old are you?,What is your gender?,What is the highest level of education you have achieved?,"What is your household's annual income?
(Optional)",How would you describe your location?,Do you live in the United States?,What state/province do you live in?,What City do you live in?,Do you work in the Automotive Industry?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID1_3""}","{""ImportId"":""QID1_4""}","{""ImportId"":""QID1_5""}","{""ImportId"":""QID1_7""}","{""ImportId"":""QID1_9""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID16""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID14""}"
2020-09-13 08:37:42,2020-09-13 08:39:44,Survey Preview,,100,121,True,2020-09-13 08:39:44,R_2ebtbLV0SNJyps8,,,,,40.676300048828125,-73.9492034912109375,preview,EN,Agree,Agree,Agree,Agree,Somewhat disagree,Strongly Disagree,,",jnb",kjbkj,32,Male,Bachelor's Degree,"$120,000 - $160,000",Urban,,New York,New York,No
2020-09-13 08:50:14,2020-09-13 08:55:40,IP Address,98.220.200.137,100,326,True,2020-09-13 08:55:40,R_2tFrfyLojjMas3i,,,,,41.6837005615234375,-88.3498992919921875,anonymous,EN,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Agree,Agree,,Low emissions,"Affordability ",49,Male,Bachelor's Degree,"$160,000 - $200,000",Suburban,,Illinois,Yorkville,No
2020-09-13 09:26:21,2020-09-13 09:31:48,IP Address,173.79.14.104,100,327,True,2020-09-13 09:31:49,R_2V8zwuRnsrtsBZb,,,,,38.886505126953125,-77.09110260009765625,anonymous,EN,Agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Somewhat disagree,,Cheaper in the long run than gas cars,Price,28,Male,Master's Degree,"$80,000 - 120,000",Urban,,Virginia,Arlington,No
2020-09-13 09:52:20,2020-09-13 09:53:38,IP Address,45.56.142.196,100,78,True,2020-09-13 09:53:38,R_3Rq4aFtNBynpYKN,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,Somewhat disagree,Somewhat disagree,Agree,Agree,Neither agree nor disagree,Disagree,,Not needing to worry about an internal combustion engine.,Probably range and time to charge.,31,Male,Bachelor's Degree,"$80,000 - 120,000",,,Illinois,Chicago,No
2020-09-13 18:58:32,2020-09-13 19:00:04,IP Address,24.228.117.247,100,92,True,2020-09-13 19:00:04,R_2z6nSKMgu19ywoZ,,,,,40.676300048828125,-73.9492034912109375,anonymous,EN,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly agree,Disagree,Disagree,,,,32,Male,Bachelor's Degree,"$160,000 - $200,000",Urban,,New York,New York,No
2020-09-14 07:28:37,2020-09-14 07:28:55,Survey Preview,,100,18,True,2020-09-14 07:28:55,R_1FCHhRfI2KEN9IH,,,,,40.676300048828125,-73.9492034912109375,preview,EN,Somewhat disagree,Somewhat disagree,Disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,,sdfa,asfg,22,Female,,,,,,,
2020-09-14 07:49:21,2020-09-14 07:52:14,IP Address,67.61.165.32,100,172,True,2020-09-14 07:52:14,R_UcIuB5s2xtJna6t,,,,,34.5077056884765625,-97.939300537109375,anonymous,EN,Somewhat agree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Technology implemented,"Infrastructure (charge station), stability of power supply (think about california), universal charging ",45,Male,Master's Degree,Click to write Choice 8,Rural,,Oklahoma,N/A,No
2020-09-14 07:49:46,2020-09-14 07:53:15,IP Address,125.161.137.175,100,208,True,2020-09-14 07:53:15,R_1oAaqvc62SKGTSJ,,,,,-6.174102783203125,106.82958984375,anonymous,EN,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Disagree,Disagree,Low maintenance cost and no added fuel cost,Range of electric cars. Usually up to 300 miles,29,Male,Master's Degree,"$80,000 - 120,000",Urban,,WA,Seattle,No
